,acc.date,type,reg,operator,fat,location,dmg
402,2021-11-03,Antonov An-12BK,EW-518TI,Grodno Aircompany,9.0,3 km SE of Irkutsk Airport (IKT),w/o
403,2021-11-03,Transall C-160NG,EY-360,Safe Air Company (SAC),0.0,Dolow Airport,w/o
404,2021-11-05,Gulfstream ?,,private,0.0,western Venezuela,w/o
405,2021-11-05,Gulfstream Aerospace G-1159A Gulfstream III,N42FL,private,0.0,"near Victoria 3, Retalhuleu",w/o
406,2021-11-06,Antonov An-2R,YR-PMW,Asociatia Club Sportiv Skydiving Center,0.0,Letca Noua Airfield,sub
407,2021-11-13,Britten-Norman BN-2A-6 Islander,N866JA,Island Airways,4.0,"0,1 km S of Beaver Island-Welke Airport, MI",w/o
408,2021-11-14,IAI 1125 Astra SP,N771DX,EMD Astra Holdings LLC,0.0,"Las Vegas-North Air Terminal, NV (VGT)",sub
409,2021-11-21,Bombardier BD-100-1A10 Challenger 350,N743QS,NetJets,0.0,50 km N of Turks and Caicos Islands,non
410,2021-11-25,Airbus A320-251N,PR-YRH,Azul Linhas Aéreas Brasileiras,0.0,"Cuiabá-Marechal Rondon International Airport, MT (CGB/SBCY)",non
411,2021-11-28,Beechcraft 200 Super King Air,N71VT,Western Wings Corp,0.0,"Eugene Airport, OR (EUG)",sub
412,2021-11-29,Boeing 747-4B5F,N705CK,Kalitta Air,0.0,"between Santiago and Miami, FL",sub
413,2021-12-01,Cessna 510 Citation Mustang,N81CB,private,0.0,"Lake Havasu City Airport, AZ (KHII)",sub
414,2021-12-01,Cessna 208 Caravan I,N9602F,Lake & Peninsula Airlines,0.0,"W of Port Alsworth Airport, AK (PTA)",sub
415,2021-12-05,Airbus A350-941,F-HNET,Air Caraïbes Atlantique,0.0,near Cayenne,non
416,2021-12-05,Cessna 560XL Citation Excel,G-IPAX,Air Charter Scotland Ltd.,0.0,Kemi/Tornio Airport (KEM),sub
417,2021-12-10,Swearingen SA-226AT Merlin IV,N54GP,Castle Aviation,1.0,"0,6 km SW of Manchester-Boston Regional Airport, NH (MHT/KMHT)",w/o
418,2021-12-11,Boeing 737-8AS (WL),EI-EMM,Ryanair,0.0,Dublin Airport (DUB/EIDW),non
419,2021-12-12,Airbus A320-251N,N307FR,Frontier Airlines,0.0,"Las Vegas-McCarran International Airport, NV (LAS)",sub
420,2021-12-14,Embraer EMB-500 Phenom 100,PR-TDV,Dimed SA Distribuidora da Medicamentos,0.0,"Santa Rosa Airport, RS (SRA)",sub
421,2021-12-15,Gulfstream G-IVSP,HI1050,Helidosa Aviation Group,9.0,Santo Domingo-Las Américas International Airport (SDQ),w/o
422,2021-12-17,Beechcraft B200 Super King Air,C-FSKO,Keewatin Air,0.0,"Sanikiluaq Airport, NU (YSK)",sub
423,2021-12-20,Cessna 525 CitationJet,N287CB,Cottingham & Butler Insurance Services,0.0,"Dubuque, IA",sub
424,2021-12-21,Airbus A321-271NX,N2084J,JetBlue Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",non
425,2021-12-21,Learjet 35A,XA-VDK,private,0.0,Cancún Airport (CUN/MMUN),w/o
426,2021-12-21,Cessna 208B Super Cargomaster,N1116N,Martinaire,2.0,"Fulshear, TX",w/o
427,2021-12-23,Shorts 360-300,9S-GPS,Malu Aviation,5.0,"14,8 km NW of Shabunda",w/o
428,2021-12-25,Airbus A330-343,C-GFAF,Air Canada,0.0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub
429,2021-12-27,Learjet 35A,N880Z,Aeromedevac Air Ambulance,4.0,"El Cajon, San Diego",w/o
430,2021-12-28,Beechcraft A100 King Air,N93GT,Sky-Bound Aviation LLC,0.0,"Helena-Thompson-Robbins Airport, AR (HEE)",sub
431,2021-12-28,Cessna 208B Grand Caravan,Z-HAC,Halsted Aviation Corporation (HAC),0.0,Bazaruto Island Airport (BZB),w/o
432,2021-12-30,Embraer ERJ-170SE,N633RW,"United Express, opb Republic Airlines",0.0,"Newark-Liberty International Airport, NJ (EWR)",sub
433,2021-12-30,Airbus A330-303,TC-JOK,THY Turkish Airlines,0.0,"Newark-Liberty International Airport, NJ (EWR)",min
434,2021-12-30,Beechcraft 300 Super King Air,TG-MAM,"Empresas Ginro, S.A.",0.0,Rio Dulce-Las Vegas Airport (LCF),w/o
435,2021-12-31,IRMA/Pilatus Britten-Norman BN-2T Islander,,Royal Moroccan Gendarmerie,0.0,off N'Tireft,unk
436,2020-01-01,Gulfstream G IV,N962SS,Executive Charters Inc,0.0,"Van Nuys, CA",non
437,2020-01-02,Antonov An-12A,-,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),18.0,5 km from Geneina Airport (EGN),w/o
438,2020-01-03,Hawker 900XP,N805D,Million Air San Juan,0.0,San Juan-Fernando Luis Ribas Dominicci Airport (SIG),sub
439,2020-01-03,Harbin Y-12-II,SCL-857,Sri Lanka Air Force,4.0,"Haputale, Badulla",w/o
440,2020-01-04,Beechcraft B200 King Air,N200HF,"L.C. Whitford Co., Inc.",0.0,"Morristown Municipal Airport, NJ (MMU)",sub
441,2020-01-05,de Havilland Canada DHC-8-202Q,N8200L,US Special Operations Command (USSOCOM),0.0,Manda Bay-Camp Simba Air Base,w/o
442,2020-01-05,Beechcraft B300 King Air 350,,L3 Technologies,2.0,Manda Bay-Camp Simba Air Base,w/o
443,2020-01-08,Boeing 737-823 (WL),N929NN,American Airlines,0.0,"New York-La Guardia Airport, NY (LGA)",sub
444,2020-01-08,Boeing 737-8KV (WL),UR-PSR,Ukraine International Airlines,176.0,near Sabashahr,w/o
445,2020-01-09,Lockheed C-130BZ Hercules,403,South African Air Force - SAAF,0.0,Goma Airport (GOM),sub
446,2020-01-10,Airbus A320-232,N1902U,United Airlines,0.0,"New Orleans, Louisiana",non
447,2020-01-10,Airbus A321-231 (WL),VQ-BRS,Nordwind Airlines,0.0,Antalya Airport (AYT),sub
448,2020-01-12,Boeing 737-8Q8 (WL),HL8243,Jin Air,0.0,30 km northwest of Fukuoka Airport,non
449,2020-01-13,Airbus A320-214,OH-LXD,Finnair,0.0,Helsinki-Vantaa Airport (HEL/EFHK),non
450,2020-01-16,Airbus A380-861,A6-EEN,Emirates,0.0,Beira FIR,non
451,2020-01-16,Beechcraft B200 King Air,N547LM,LifeMed Alaska,0.0,"NW off Unalaska-Tom Madsen Airport, AK (DUT)",w/o
452,2020-01-19,Fairchild SA227-AC Metro III,C-GWVH,Perimeter Aviation,0.0,"Shamattawa Airport, MB (ZTM)",sub
453,2020-01-20,Boeing 767-232 (BDSF),SE-RLC,West Air Sweden,0.0,Roma-Ciampino Airport (CIA/LIRA),sub
454,2020-01-20,de Havilland Canada DHC-8-314 Dash 8,C-GXAI,Air Inuit,0.0,"Schefferville Airport, QC (YKL)",sub
455,2020-01-23,Cessna S550 Citation S/II,ZS-CAR,South African Civil Aviation Authority,3.0,5 km NW of Friemersheim,w/o
456,2020-01-23,Lockheed EC-130Q Hercules,N134CG,Coulson Aviation,3.0,"near Cooma, NSW",w/o
457,2020-01-24,Gulfstream G150,N373ML,Compass Aviation LLC,0.0,San Juan-Fernando Luis Ribas Dominicci Airport (SIG),sub
458,2020-01-27,Bombardier E-11A (Global Express),11-9358,US Air Force (USAF),2.0,39 km NNW of Sharana FOB,w/o
459,2020-01-27,McDonnell Douglas MD-83,EP-CPZ,Caspian Airlines,0.0,Bandar Mahshahr Airport (MRX),w/o
460,2020-01-28,Boeing 737-6CT,C-GWJU,WestJet,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
461,2020-01-28,Boeing 737-76N (WL),C-FZWS,WestJet,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
462,2020-01-30,Hawker 900XP,XA-BNG,ALE - Aerolineas Ejecutivas,0.0,Monterrey-Aeropuerto Del Norte (NTR),w/o
463,2020-01-31,Bombardier DHC-8-402Q Dash 8,C-FKWE,WestJet Encore,0.0,"Terrace Airport, BC (YXT)",sub
464,2020-02-01,Boeing 747-412F (SCD),TC-MCT,"ACT Airlines, opf Saudi Arabian Airlines",0.0,Dammam-King Fahad International Airport (DMM/OEDF),sub
465,2020-02-02,Airbus A380-861,A6-EON,Emirates,0.0,"over Rocky Mountains, Wyoming",non
466,2020-02-03,Boeing 747-412 (BCF),N703CK,Kalitta Air,0.0,"Los Angeles International Airport, CA (LAX)",sub
467,2020-02-03,Boeing 767-375ER,C-GHOZ,Air Canada,0.0,Madrid-Barajas Adolfo Suárez Airport (MAD),min
468,2020-02-04,Cessna 208B Grand Caravan,N454SF,Grant Aviation,0.0,"Hooper Bay Airport, AK (HPB)",sub
